project,ci_tool,subcommands,skip_tests,build_tests_only,use_build_tool
oshi_oshi,travis_ci,install,True,False,True
shrinkwrap_shrinkwrap,circle_ci,"clean,package",True,False,True
shrinkwrap_shrinkwrap,circle_ci,test,False,False,True
yegor256_cactoos,github_actions,install,False,False,True
yegor256_cactoos,github_actions,"clean,package",False,False,True
yegor256_cactoos,github_actions,"clean,install",False,False,True
steve-community_steve,github_actions,license:check,False,False,True
steve-community_steve,github_actions,"clean,package",False,False,True
mjanicek_rembulan,travis_ci,test,False,False,True
mjanicek_rembulan,travis_ci,install,True,False,True
BentoBoxWorld_BentoBox,github_actions,verify,False,False,True
BentoBoxWorld_BentoBox,github_actions,"clean,install",False,False,True
oehf_ipf,github_actions,"clean,package",True,False,True
oehf_ipf,travis_ci,"clean,install",False,False,True
oehf_ipf,travis_ci,install,True,False,True
mongock_mongock,github_actions,"release:prepare,release:perform",False,False,True
mongock_mongock,github_actions,verify,False,False,True
networknt_json-schema-validator,github_actions,"clean,verify",False,False,True
archimatetool_archi,github_actions,"clean,package",True,False,True
archimatetool_archi,github_actions,"clean,verify",False,False,True
wttech_aet,travis_ci,test,False,False,True
wttech_aet,travis_ci,install,True,False,True
jfaster_mango,travis_ci,test,False,False,True
jfaster_mango,travis_ci,install,True,False,True
clearflask_clearflask,github_actions,install,False,False,True
everit-org_json-schema,travis_ci,verify,False,False,True
kaitoy_pcap4j,circle_ci,verify,False,False,True
kaitoy_pcap4j,travis_ci,"verify,coveralls:report",False,False,True
kaitoy_pcap4j,travis_ci,install,False,False,True
watson-developer-cloud_java-sdk,github_actions,verify,False,False,True
watson-developer-cloud_java-sdk,github_actions,deploy,False,False,True
watson-developer-cloud_java-sdk,github_actions,"clean,javadoc:aggregate",False,False,True
watson-developer-cloud_java-sdk,github_actions,test,False,False,True
watson-developer-cloud_java-sdk,travis_ci,versions:set,False,False,True
watson-developer-cloud_java-sdk,travis_ci,verify,False,False,True
watson-developer-cloud_java-sdk,travis_ci,"clean,javadoc:aggregate",False,False,True
watson-developer-cloud_java-sdk,travis_ci,deploy,True,False,True
watson-developer-cloud_java-sdk,travis_ci,install,True,False,True
jMetal_jMetal,github_actions,"clean,test",False,False,True
