project,subcommand,elapsed_time,critical_path,parallelism,target,commits
google_j2cl,build,1392.469,1221.3,2,//:all,4784.0
google_j2cl,build,1387.941,1197.81,2,//:all,4784.0
google_j2cl,build,1328.052,1063.31,2,//:all,4784.0
google_j2cl,build,1319.838,1073.55,2,//:all,4784.0
google_j2cl,build,1314.704,997.66,2,//:all,4784.0
google_j2cl,build,1337.263,1274.66,2,//:all,4784.0
google_j2cl,build,1292.183,992.71,2,//:all,4784.0
grpc-ecosystem_grpc-gateway,build,405.15,146.57,1,//:all,2216.0
grpc-ecosystem_grpc-gateway,build,407.469,145.41,1,//:all,2216.0
grpc-ecosystem_grpc-gateway,build,482.769,187.74,1,//:all,2216.0
grpc-ecosystem_grpc-gateway,build,485.966,190.33,1,//:all,2216.0
grpc-ecosystem_grpc-gateway,build,399.437,164.65,1,//:all,2216.0
grpc-ecosystem_grpc-gateway,build,399.706,166.98,1,//:all,2216.0
grpc-ecosystem_grpc-gateway,build,478.511,168.51,1,//:all,2216.0
grpc-ecosystem_grpc-gateway,build,476.001,163.84,1,//:all,2216.0
grpc-ecosystem_grpc-gateway,build,414.851,194.22,1,//:all,2216.0
grpc-ecosystem_grpc-gateway,build,417.222,188.37,1,//:all,2216.0
grpc-ecosystem_grpc-gateway,build,231.194,78.0,2,//:all,2216.0
grpc-ecosystem_grpc-gateway,build,208.087,89.52,2,//:all,2216.0
grpc-ecosystem_grpc-gateway,build,193.573,82.28,2,//:all,2216.0
grpc-ecosystem_grpc-gateway,build,280.891,80.13,2,//:all,2216.0
grpc-ecosystem_grpc-gateway,build,203.174,84.14,2,//:all,2216.0
grpc-ecosystem_grpc-gateway,build,205.251,87.21,2,//:all,2216.0
grpc-ecosystem_grpc-gateway,build,297.818,120.72,2,//:all,2216.0
grpc-ecosystem_grpc-gateway,build,195.394,80.31,2,//:all,2216.0
grpc-ecosystem_grpc-gateway,build,204.028,83.92,2,//:all,2216.0
grpc-ecosystem_grpc-gateway,build,290.998,157.04,2,//:all,2216.0
grpc_grpc-java,build,1905.586,1744.14,1,//:all,5704.0
grpc_grpc-java,build,1909.831,1745.21,1,//:all,5704.0
grpc_grpc-java,build,1935.987,1747.5,1,//:all,5704.0
grpc_grpc-java,build,1965.163,1792.6,1,//:all,5704.0
grpc_grpc-java,build,1905.465,1776.91,1,//:all,5704.0
grpc_grpc-java,build,1914.83,1767.54,1,//:all,5704.0
grpc_grpc-java,build,1965.604,1732.52,1,//:all,5704.0
grpc_grpc-java,build,1944.092,1724.57,1,//:all,5704.0
grpc_grpc-java,build,1986.425,1853.59,1,//:all,5704.0
grpc_grpc-java,build,2003.219,1871.32,1,//:all,5704.0
grpc_grpc-java,build,930.445,839.97,2,//:all,5704.0
grpc_grpc-java,build,929.588,854.9,2,//:all,5704.0
grpc_grpc-java,build,938.338,849.86,2,//:all,5704.0
grpc_grpc-java,build,1041.856,910.68,2,//:all,5704.0
grpc_grpc-java,build,974.143,866.29,2,//:all,5704.0
grpc_grpc-java,build,939.822,843.29,2,//:all,5704.0
grpc_grpc-java,build,1014.079,852.84,2,//:all,5704.0
grpc_grpc-java,build,968.244,866.77,2,//:all,5704.0
grpc_grpc-java,build,945.665,852.19,2,//:all,5704.0
grpc_grpc-java,build,1037.937,863.26,2,//:all,5704.0
grpc_grpc-proto,build,1090.561,1006.96,1,//:all,120.0
grpc_grpc-proto,build,1109.653,1029.82,1,//:all,120.0
grpc_grpc-proto,build,1152.243,1041.19,1,//:all,120.0
grpc_grpc-proto,build,1201.38,1067.81,1,//:all,120.0
grpc_grpc-proto,build,1200.17,1058.8,1,//:all,120.0
grpc_grpc-proto,build,1225.047,1085.06,1,//:all,120.0
grpc_grpc-proto,build,1143.396,1038.74,1,//:all,120.0
grpc_grpc-proto,build,1114.27,1022.24,1,//:all,120.0
grpc_grpc-proto,build,1143.858,1040.69,1,//:all,120.0
grpc_grpc-proto,build,1144.432,1068.73,1,//:all,120.0
grpc_grpc-proto,build,499.167,456.74,2,//:all,120.0
grpc_grpc-proto,build,576.501,470.85,2,//:all,120.0
grpc_grpc-proto,build,619.831,559.8,2,//:all,120.0
grpc_grpc-proto,build,619.035,559.22,2,//:all,120.0
grpc_grpc-proto,build,603.623,547.32,2,//:all,120.0
grpc_grpc-proto,build,518.921,468.04,2,//:all,120.0
grpc_grpc-proto,build,626.812,519.63,2,//:all,120.0
grpc_grpc-proto,build,593.807,541.74,2,//:all,120.0
grpc_grpc-proto,build,645.4,561.1,2,//:all,120.0
grpc_grpc-proto,build,589.209,530.27,2,//:all,120.0
jesec_rtorrent,build,1880.931,1780.98,1,//:all,1468.0
jesec_rtorrent,build,1892.729,1794.82,1,//:all,1468.0
jesec_rtorrent,build,1886.884,1788.62,1,//:all,1468.0
jesec_rtorrent,build,1877.703,1779.29,1,//:all,1468.0
jesec_rtorrent,build,1818.414,1714.8,1,//:all,1468.0
jesec_rtorrent,build,1816.169,1716.23,1,//:all,1468.0
jesec_rtorrent,build,1857.811,1759.55,1,//:all,1468.0
jesec_rtorrent,build,1876.967,1784.62,1,//:all,1468.0
jesec_rtorrent,build,1893.047,1791.56,1,//:all,1468.0
jesec_rtorrent,build,1897.508,1789.62,1,//:all,1468.0
jesec_rtorrent,build,964.002,920.43,2,//:all,1468.0
jesec_rtorrent,build,885.311,831.55,2,//:all,1468.0
jesec_rtorrent,build,894.008,833.7,2,//:all,1468.0
jesec_rtorrent,build,902.23,850.67,2,//:all,1468.0
jesec_rtorrent,build,950.396,909.54,2,//:all,1468.0
jesec_rtorrent,build,1055.304,965.6,2,//:all,1468.0
jesec_rtorrent,build,1059.537,1006.78,2,//:all,1468.0
jesec_rtorrent,build,1158.253,1104.91,2,//:all,1468.0
jesec_rtorrent,build,1064.454,1001.91,2,//:all,1468.0
jesec_rtorrent,build,1147.86,1089.6,2,//:all,1468.0
livegrep_livegrep,build,4040.126,2639.6,1,//:all,1555.0
livegrep_livegrep,build,4063.092,2720.05,1,//:all,1555.0
livegrep_livegrep,build,4379.883,3013.49,1,//:all,1555.0
livegrep_livegrep,build,4368.033,3140.14,1,//:all,1555.0
livegrep_livegrep,build,4558.984,2732.99,1,//:all,1555.0
livegrep_livegrep,build,4566.662,2714.93,1,//:all,1555.0
livegrep_livegrep,build,4494.804,3216.41,1,//:all,1555.0
livegrep_livegrep,build,4497.39,3283.57,1,//:all,1555.0
livegrep_livegrep,build,4378.66,2621.46,1,//:all,1555.0
livegrep_livegrep,build,4382.66,3550.14,1,//:all,1555.0
livegrep_livegrep,build,2198.68,1497.11,2,//:all,1555.0
livegrep_livegrep,build,2181.293,1581.64,2,//:all,1555.0
