project,build_tool,name,category
idempiere_idempiere,maven,org.apache.maven.plugins:maven-dependency-plugin,native
idempiere_idempiere,maven,com.googlecode.maven-download-plugin:download-maven-plugin,external
idempiere_idempiere,maven,org.reficio:p2-maven-plugin,external
idempiere_idempiere,maven,org.reficio:p2-maven-plugin,external
idempiere_idempiere,maven,com.googlecode.maven-download-plugin:download-maven-plugin,external
idempiere_idempiere,maven,com.coderplus.maven.plugins:copy-rename-maven-plugin,external
idempiere_idempiere,maven,org.eclipse.tycho.extras:tycho-p2-extras-plugin,external
idempiere_idempiere,maven,org.eclipse.tycho.extras:tycho-eclipserun-plugin,external
idempiere_idempiere,maven,org.eclipse.tycho:tycho-maven-plugin,external
idempiere_idempiere,maven,org.eclipse.tycho:tycho-source-plugin,external
undertow-io_undertow,maven,org.apache.maven.plugins:maven-resources-plugin,native
undertow-io_undertow,maven,org.apache.karaf.tooling:karaf-maven-plugin,external
undertow-io_undertow,maven,org.codehaus.mojo:build-helper-maven-plugin,external
undertow-io_undertow,maven,org.bitstrings.maven.plugins:dependencypath-maven-plugin,external
undertow-io_undertow,maven,org.apache.felix:maven-bundle-plugin,external
undertow-io_undertow,maven,org.apache.maven.plugins:maven-jar-plugin,native
undertow-io_undertow,maven,org.apache.maven.plugins:maven-surefire-plugin,native
undertow-io_undertow,maven,org.apache.felix:maven-bundle-plugin,external
undertow-io_undertow,maven,org.apache.maven.plugins:maven-jar-plugin,native
undertow-io_undertow,maven,org.bitstrings.maven.plugins:dependencypath-maven-plugin,external
undertow-io_undertow,maven,org.apache.maven.plugins:maven-surefire-plugin,native
undertow-io_undertow,maven,org.apache.maven.plugins:maven-checkstyle-plugin,native
undertow-io_undertow,maven,org.apache.maven.plugins:maven-javadoc-plugin,native
undertow-io_undertow,maven,org.zanata:zanata-maven-plugin,external
undertow-io_undertow,maven,org.apache.maven.plugins:maven-compiler-plugin,native
undertow-io_undertow,maven,org.apache.maven.plugins:maven-shade-plugin,native
undertow-io_undertow,maven,org.apache.maven.plugins:maven-jar-plugin,native
