project,ci_tool,build_tool,raw_arguments,local_cache,remote_cache,parallelism
dtolnay_cxx,github_actions,bazel,run demo --verbose_failures --noshow_progress,False,False,2
dtolnay_cxx,github_actions,bazel,test ... --verbose_failures --noshow_progress,False,False,2
grpc-ecosystem_polyglot,github_actions,bazel,test //src/...,False,False,2
bazelbuild_starlark,buildkite,bazel,build ,False,False,2
bazelbuild_starlark,buildkite,bazel,test,False,False,2
bazelbuild_tulsi,github_actions,bazel,build --remote_cache=grpcs://remote.buildbuddy.io -- //:tulsi,False,True,3
bazelbuild_tulsi,github_actions,bazel,test --remote_cache=grpcs://remote.buildbuddy.io --sandbox_writable_path=/Users/runner/Library/Application\ Support -- //:tests,False,True,3
bazelbuild_tulsi,github_actions,bazel,build --remote_cache=grpcs://remote.buildbuddy.io -- //:tulsi,False,True,3
bazelbuild_tulsi,github_actions,bazel,test --remote_cache=grpcs://remote.buildbuddy.io --sandbox_writable_path=/Users/runner/Library/Application\ Support -- //:tests,False,True,3
bazelbuild_tulsi,github_actions,bazel,build --remote_cache=grpcs://remote.buildbuddy.io -- //:tulsi,False,True,3
bazelbuild_tulsi,github_actions,bazel,test --remote_cache=grpcs://remote.buildbuddy.io --sandbox_writable_path=/Users/runner/Library/Application\ Support -- //:tests,False,True,3
adobe_rules_gitops,github_actions,bazel,build //...,False,False,2
adobe_rules_gitops,github_actions,bazel,test //...,False,False,2
adobe_rules_gitops,github_actions,bazel,build //...,False,False,2
adobe_rules_gitops,github_actions,bazel,test //...,False,False,2
bufbuild_protoc-gen-validate,github_actions,maven,-B verify,False,False,2
bufbuild_protoc-gen-validate,github_actions,maven,-B versions:set -DnewVersion=${{ env.VERSION }} -DgenerateBackupPoms=false,False,False,2
bufbuild_protoc-gen-validate,github_actions,maven,-B -s settings.xml clean deploy \,False,False,2
grpc_grpc-proto,github_actions,bazel,build //...,False,False,2
sematic-ai_sematic,circle_ci,bazel,test //sematic/... --test_output=all,False,False,2
